file,title,step_number,step,gt_action,gt_targets,m1_action,m1_targets,m1_correct,m2_action,m2_targets,m2_correct,m3_action,m3_targets,m3_correct,m4_action,m4_targets,m4_correct,m5_action,m5_targets,m5_correct,m6_action,m6_targets,m6_correct
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE,url,http://automationexercise.com,FALSE,url,http://automationexercise.com,FALSE,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,4,Scroll down to footer,Scroll,footer,Scroll,footer,TRUE,Scroll,footer,TRUE,footer,,FALSE,footer,,FALSE,Scroll,footer,TRUE,Scroll,footer,TRUE
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,5,Verify text 'SUBSCRIPTION',Verify,SUBSCRIPTION,Verify,SUBSCRIPTION,TRUE,Verify,SUBSCRIPTION,TRUE,,,FALSE,,,FALSE,Verify,SUBSCRIPTION,TRUE,Verify,SUBSCRIPTION,TRUE
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,6,Enter email address in input and click arrow button,Enter,email address,Enter,email address in input,TRUE,Enter,email address,TRUE,,,FALSE,,,FALSE,Enter,email address,TRUE,Enter,email address,TRUE
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,6,Enter email address in input and click arrow button,Click,arrow button,click,arrow button,TRUE,click,arrow button,TRUE,,,FALSE,,,FALSE,click,arrow button,TRUE,click,arrow button,TRUE
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,7,Verify success message 'You have been successfully subscribed!' is visible,Verify,You have been successfully subscribed!,Verify,You have been successfully subscribed!,TRUE,Verify,You have been successfully subscribed!,TRUE,have,You have been successfully subscribed!,FALSE,have,You have been successfully subscribed!,FALSE,subscribed,You have been successfully subscribed!,FALSE,Verify,You have been successfully subscribed!,TRUE
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE,url,http://automationexercise.com,FALSE,url,http://automationexercise.com,FALSE,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
